Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
-,1.0,0:03:19,0.8011,0.8155,0.8011,0.7943,1,1.0,0.3333,0.3333,0.3333
busqueda local (libre),0.06,0:28:50,0.8118,0.8242,0.8118,0.8141,100,0.0599,0.3841,0.3113,0.3046
aleatorio,0.1,0:38:54,0.7984,0.8004,0.7984,0.7884,100,0.1,0.3929,0.2817,0.3254
aleatorio,0.25,1:19:48,0.8091,0.8253,0.8091,0.8019,100,0.25,0.3333,0.3206,0.346
aleatorio,0.5,2:30:51,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
aleatorio,0.75,2:51:51,0.8199,0.8397,0.8199,0.8118,100,0.75,0.3376,0.3307,0.3317
busqueda local,0.1,0:31:01,0.8091,0.8062,0.8091,0.8043,100,0.1,0.3413,0.3294,0.3294
busqueda local,0.25,1:03:05,0.8387,0.8535,0.8387,0.834,100,0.25,0.3317,0.3349,0.3333
busqueda local,0.5,1:58:32,0.8038,0.8244,0.8038,0.7982,100,0.5,0.327,0.346,0.327
busqueda local,0.75,2:51:27,0.8199,0.83,0.8199,0.813,100,0.75,0.3439,0.3354,0.3206
genetico,0.1,0:30:13,0.8253,0.8277,0.8253,0.8209,100,0.1,0.3492,0.3175,0.3333
genetico,0.25,1:03:01,0.828,0.8312,0.828,0.8219,100,0.25,0.3429,0.2984,0.3587
genetico,0.5,1:57:58,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
genetico,0.75,2:52:27,0.8226,0.8401,0.8226,0.8133,100,0.75,0.3381,0.3328,0.3291
memetico,0.1,0:30:09,0.8118,0.8161,0.8118,0.8036,100,0.1,0.3492,0.2937,0.3571
memetico,0.25,1:02:41,0.8199,0.8341,0.8199,0.8109,100,0.25,0.3159,0.3317,0.3524
memetico,0.5,1:59:23,0.8065,0.8307,0.8065,0.8022,100,0.5,0.3262,0.3357,0.3381
memetico,0.75,2:52:27,0.828,0.8434,0.828,0.8182,100,0.75,0.3307,0.3423,0.327
genetico2,0.1,0:30:08,0.8253,0.8274,0.8253,0.8193,100,0.1,0.3532,0.2937,0.3532
genetico2,0.25,1:03:02,0.828,0.8357,0.828,0.8193,100,0.25,0.3159,0.327,0.3571
genetico2,0.5,1:59:52,0.8118,0.8335,0.8118,0.8074,100,0.5,0.3349,0.3452,0.3198
genetico2,0.75,2:53:43,0.8145,0.8356,0.8145,0.8038,100,0.75,0.3286,0.345,0.3265
genetico3,0.1,0:30:27,0.8065,0.8213,0.8065,0.7955,100,0.1,0.369,0.3016,0.3294
genetico3,0.25,1:02:20,0.8226,0.8337,0.8226,0.8178,100,0.25,0.3222,0.3333,0.3444
genetico3,0.5,1:58:32,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
genetico3,0.75,2:52:39,0.8145,0.8364,0.8145,0.8012,100,0.75,0.3296,0.3397,0.3307
