Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
100%,1.0,0:03:19,0.7742,0.8201,0.7742,0.7626,1,1.0,0.3333,0.3333,0.3333
LS-F,0.06,0:28:54,0.8387,0.8382,0.8387,0.8368,100,0.0599,0.3709,0.2649,0.3642
RS,0.1,0:39:05,0.7849,0.8111,0.7849,0.7685,100,0.1,0.3135,0.3333,0.3532
RS,0.25,1:20:07,0.7957,0.8127,0.7957,0.7865,100,0.25,0.327,0.3413,0.3317
RS,0.5,2:31:31,0.8038,0.8271,0.8038,0.7996,100,0.5,0.3381,0.3278,0.3341
RS,0.75,2:51:48,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
LS,0.1,0:30:53,0.7688,0.795,0.7688,0.7595,100,0.1,0.3135,0.3413,0.3452
LS,0.25,1:02:58,0.8199,0.8274,0.8199,0.813,100,0.25,0.3413,0.3143,0.3444
LS,0.5,1:58:47,0.7984,0.8171,0.7984,0.7929,100,0.5,0.3262,0.3317,0.3421
LS,0.75,2:51:56,0.8172,0.844,0.8172,0.8084,100,0.75,0.3349,0.3328,0.3323
GA,0.1,0:30:11,0.8011,0.8137,0.8011,0.7921,100,0.1,0.3492,0.3175,0.3333
GA,0.25,1:03:03,0.7957,0.8233,0.7957,0.7845,100,0.25,0.3333,0.3127,0.354
GA,0.5,1:58:28,0.7984,0.8158,0.7984,0.7924,100,0.5,0.3484,0.3238,0.3278
GA,0.75,2:52:39,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
MA,0.1,0:30:11,0.7903,0.8099,0.7903,0.7755,100,0.1,0.3492,0.2937,0.3571
MA,0.25,1:02:39,0.8065,0.8193,0.8065,0.7971,100,0.25,0.3302,0.3222,0.3476
MA,0.5,1:59:43,0.8118,0.8298,0.8118,0.8058,100,0.5,0.346,0.3222,0.3317
MA,0.75,2:52:43,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
GA-WC,0.1,0:30:11,0.8172,0.8317,0.8172,0.8069,100,0.1,0.4008,0.2897,0.3095
GA-WC,0.25,1:02:45,0.8091,0.8269,0.8091,0.8013,100,0.25,0.3349,0.3476,0.3175
GA-WC,0.5,1:59:55,0.8065,0.8233,0.8065,0.8008,100,0.5,0.3325,0.3421,0.3254
GA-WC,0.75,2:53:24,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
GA-PR,0.1,0:30:36,0.793,0.8128,0.793,0.7791,100,0.1,0.3056,0.377,0.3175
GA-PR,0.25,1:02:25,0.8011,0.8132,0.8011,0.7938,100,0.25,0.3222,0.3286,0.3492
GA-PR,0.5,1:58:48,0.8065,0.8306,0.8065,0.7993,100,0.5,0.3262,0.3365,0.3373
GA-PR,0.75,2:52:41,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
