,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
0,genetico2 (libre),0.1,0 days 00:34:29,0.828,0.833,0.828,0.8212,100,0.1714,0.3241,0.3495,0.3264
1,genetico2 (libre),0.25,0 days 01:01:17,0.8145,0.828,0.8145,0.8084,100,0.4921,0.3371,0.3298,0.3331
2,genetico2 (libre),0.5,0 days 02:14:05,0.8199,0.8375,0.8199,0.8127,100,0.623,0.3331,0.335,0.3318
3,genetico2 (libre),0.75,0 days 02:12:18,0.8118,0.8326,0.8118,0.7996,100,0.75,0.3397,0.3354,0.3249
4,genetico3,0.1,0 days 00:24:18,0.8011,0.8136,0.8011,0.7883,100,0.1,0.3135,0.3254,0.3611
5,genetico3,0.25,0 days 00:50:22,0.8253,0.8315,0.8253,0.8206,100,0.25,0.3492,0.3254,0.3254
6,genetico3,0.5,0 days 01:34:50,0.8118,0.8375,0.8118,0.8053,100,0.5,0.3278,0.3206,0.3516
7,genetico3,0.75,0 days 02:18:05,0.8226,0.8378,0.8226,0.8138,100,0.75,0.3397,0.3349,0.3254
0,genetico2 (libre),0.1,0 days 00:45:00,0.8091,0.8283,0.8091,0.801,100,0.2698,0.3471,0.3147,0.3382
1,genetico2 (libre),0.25,0 days 01:03:02,0.8065,0.8213,0.8065,0.8003,100,0.2274,0.3525,0.3159,0.3316
2,genetico2 (libre),0.5,0 days 01:42:01,0.8118,0.8375,0.8118,0.8082,100,0.4476,0.3271,0.3324,0.3404
3,genetico2 (libre),0.75,0 days 02:30:57,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
4,genetico3,0.1,0 days 00:29:56,0.7661,0.8101,0.7661,0.7501,100,0.1,0.3254,0.3532,0.3214
5,genetico3,0.25,0 days 01:02:38,0.8065,0.8206,0.8065,0.796,100,0.25,0.3397,0.2921,0.3683
6,genetico3,0.5,0 days 01:56:53,0.8118,0.8286,0.8118,0.8076,100,0.5,0.3262,0.3381,0.3357
7,genetico3,0.75,0 days 02:50:20,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
0,genetico2 (libre),0.1,0 days 00:31:32,0.8145,0.8295,0.8145,0.8039,100,0.0782,0.3655,0.3147,0.3198
1,genetico2 (libre),0.25,0 days 01:03:27,0.8226,0.8258,0.8226,0.8158,100,0.198,0.3627,0.2766,0.3607
2,genetico2 (libre),0.5,0 days 02:10:26,0.828,0.848,0.828,0.8192,100,0.4151,0.3317,0.327,0.3413
3,genetico2 (libre),0.75,0 days 02:24:02,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
4,genetico3,0.1,0 days 00:30:06,0.8226,0.8239,0.8226,0.8174,100,0.1,0.3571,0.2778,0.3651
5,genetico3,0.25,0 days 01:02:29,0.8145,0.8328,0.8145,0.8092,100,0.25,0.3286,0.3444,0.327
6,genetico3,0.5,0 days 01:56:38,0.8091,0.8284,0.8091,0.8004,100,0.5,0.3429,0.3333,0.3238
7,genetico3,0.75,0 days 02:50:03,0.8199,0.8423,0.8199,0.8111,100,0.75,0.3328,0.337,0.3302
0,genetico2 (libre),0.1,0 days 00:29:07,0.8925,0.8965,0.8925,0.8925,100,0.071,0.419,0.3352,0.2458
1,genetico2 (libre),0.25,0 days 01:29:07,0.8333,0.8358,0.8333,0.8288,100,0.2282,0.3513,0.327,0.3217
2,genetico2 (libre),0.5,0 days 01:20:27,0.871,0.882,0.871,0.8667,100,0.2726,0.3581,0.329,0.313
3,genetico2 (libre),0.75,0 days 03:08:14,0.8306,0.84,0.8306,0.8226,100,0.6361,0.35,0.3144,0.3356
4,genetico3,0.1,0 days 00:31:22,0.8763,0.8772,0.8763,0.8747,100,0.1,0.373,0.3214,0.3056
5,genetico3,0.25,0 days 01:05:04,0.8737,0.876,0.8737,0.8696,100,0.25,0.3524,0.346,0.3016
6,genetico3,0.5,0 days 02:02:02,0.8253,0.8362,0.8253,0.8206,100,0.5,0.3349,0.3341,0.331
7,genetico3,0.75,0 days 02:55:17,0.8414,0.8476,0.8414,0.8373,100,0.75,0.3296,0.336,0.3344
0,genetico2 (libre),0.1,0 days 00:32:35,0.8038,0.8161,0.8038,0.7876,100,0.1567,0.3468,0.3266,0.3266
1,genetico2 (libre),0.25,0 days 00:59:13,0.8118,0.8221,0.8118,0.8058,100,0.1885,0.3474,0.3242,0.3284
2,genetico2 (libre),0.5,0 days 01:50:02,0.8495,0.8559,0.8495,0.8449,100,0.5599,0.3409,0.3253,0.3338
3,genetico2 (libre),0.75,0 days 02:31:34,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312
4,genetico3,0.1,0 days 00:29:29,0.8306,0.8287,0.8306,0.829,100,0.1,0.3571,0.3294,0.3135
5,genetico3,0.25,0 days 01:01:17,0.8118,0.8281,0.8118,0.8028,100,0.25,0.3111,0.3556,0.3333
6,genetico3,0.5,0 days 01:55:41,0.8038,0.8237,0.8038,0.7954,100,0.5,0.3286,0.3341,0.3373
7,genetico3,0.75,0 days 02:33:16,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312
